# FEA-Net 三任务最优方案完整指标汇总（best）
# 生成时间：2026-08-10 10:13:43
# 任务配置：
#   A-B  BOE->TMI  es=5 et=8  extra=--src_ll_prob 0.7 --src_ll_alpha 2.0
#   A-C  BOE->CELL  es=4 et=15  extra=--lambda_caco 0.01 --lambda_batch_ang 0.001 --alpha_scon 0.01
#   B-C  TMI->CELL  es=8 et=15  extra=--lambda_caco 0.01 --lambda_batch_ang 0.5


### A-B
  | 种子 | acc | auc | recall | precision | f1 | bacc | specificity | kappa | gmean | mcc |
  |---|---|---|---|---|---|---|---|---|---|---|
  | 42 | 0.9641 | 0.9824 | 0.9681 | 0.9628 | 0.9646 | 0.9628 | 0.9803 | 0.9438 | 0.9742 | 0.9450 |
  | 123 | 0.9499 | 0.9852 | 0.9441 | 0.9558 | 0.9493 | 0.9558 | 0.9749 | 0.9222 | 0.9594 | 0.9226 |
  | 777 | 0.9314 | 0.9558 | 0.9475 | 0.9352 | 0.9376 | 0.9352 | 0.9616 | 0.8924 | 0.9545 | 0.8977 |
  | 2024 | 0.9662 | 0.9838 | 0.9684 | 0.9686 | 0.9682 | 0.9686 | 0.9817 | 0.9473 | 0.9751 | 0.9477 |
  | 3407 | 0.9673 | 0.9842 | 0.9694 | 0.9690 | 0.9691 | 0.9690 | 0.9824 | 0.9490 | 0.9759 | 0.9490 |
  | **mean** | 0.9558 | 0.9783 | 0.9595 | 0.9583 | 0.9578 | 0.9583 | 0.9762 | 0.9309 | 0.9678 | 0.9324 |
  | **std**  | 0.0153 | 0.0126 | 0.0126 | 0.0140 | 0.0138 | 0.0140 | 0.0087 | 0.0241 | 0.0101 | 0.0222 |

### A-C
  | 种子 | acc | auc | recall | precision | f1 | bacc | specificity | kappa | gmean | mcc |
  |---|---|---|---|---|---|---|---|---|---|---|
  | 42 | 0.8943 | 0.9568 | 0.9012 | 0.8943 | 0.8952 | 0.8943 | 0.9471 | 0.8414 | 0.9239 | 0.8440 |
  | 123 | 0.8638 | 0.9471 | 0.8891 | 0.8638 | 0.8663 | 0.8638 | 0.9319 | 0.7957 | 0.9102 | 0.8063 |
  | 777 | 0.8961 | 0.9528 | 0.9014 | 0.8961 | 0.8966 | 0.8961 | 0.9480 | 0.8441 | 0.9244 | 0.8461 |
  | 2024 | 0.8405 | 0.9133 | 0.8543 | 0.8405 | 0.8428 | 0.8405 | 0.9203 | 0.7608 | 0.8867 | 0.7650 |
  | 3407 | 0.8925 | 0.9494 | 0.8965 | 0.8925 | 0.8921 | 0.8925 | 0.9462 | 0.8387 | 0.9211 | 0.8408 |
  | **mean** | 0.8774 | 0.9439 | 0.8885 | 0.8774 | 0.8786 | 0.8774 | 0.9387 | 0.8161 | 0.9133 | 0.8204 |
  | **std**  | 0.0245 | 0.0175 | 0.0198 | 0.0245 | 0.0235 | 0.0245 | 0.0122 | 0.0368 | 0.0159 | 0.0350 |

### B-C
  | 种子 | acc | auc | recall | precision | f1 | bacc | specificity | kappa | gmean | mcc |
  |---|---|---|---|---|---|---|---|---|---|---|
  | 42 | 0.9158 | 0.9552 | 0.9161 | 0.9158 | 0.9158 | 0.9158 | 0.9579 | 0.8737 | 0.9368 | 0.8738 |
  | 123 | 0.9176 | 0.9601 | 0.9192 | 0.9176 | 0.9176 | 0.9176 | 0.9588 | 0.8763 | 0.9388 | 0.8771 |
  | 777 | 0.9176 | 0.9525 | 0.9203 | 0.9176 | 0.9181 | 0.9176 | 0.9588 | 0.8763 | 0.9394 | 0.8772 |
  | 2024 | 0.9158 | 0.9552 | 0.9176 | 0.9158 | 0.9161 | 0.9158 | 0.9579 | 0.8737 | 0.9375 | 0.8742 |
  | 3407 | 0.9391 | 0.9656 | 0.9398 | 0.9391 | 0.9392 | 0.9391 | 0.9695 | 0.9086 | 0.9546 | 0.9089 |
  | **mean** | 0.9212 | 0.9577 | 0.9226 | 0.9212 | 0.9214 | 0.9212 | 0.9606 | 0.8817 | 0.9414 | 0.8822 |
  | **std**  | 0.0101 | 0.0052 | 0.0097 | 0.0101 | 0.0100 | 0.0101 | 0.0050 | 0.0151 | 0.0074 | 0.0150 |
