method,task,n_images,params_M,flops_G,total_s,ms_per_image
ResNet-18,A->B,918,11.31,3.627,5.263,5.733
ResNet-18,A->C,558,11.31,3.627,2.819,5.053
ResNet-18,B->C,558,11.31,3.627,2.834,5.08
ResNet-50,A->B,918,24.03,8.175,6.799,7.406
ResNet-50,A->C,558,24.03,8.175,3.621,6.489
ResNet-50,B->C,558,24.03,8.175,3.65,6.541
VGG-16,A->B,918,151.05,30.966,5.058,5.51
VGG-16,A->C,558,151.05,30.966,2.559,4.587
VGG-16,B->C,558,151.05,30.966,2.612,4.682
DANN,A->B,918,24.03,8.175,6.967,7.589
DANN,A->C,558,24.03,8.175,3.715,6.658
DANN,B->C,558,24.03,8.175,3.704,6.637
ADDA,A->B,918,134.28,30.932,5.159,5.62
ADDA,A->C,558,134.28,30.932,2.655,4.758
ADDA,B->C,558,134.28,30.932,2.717,4.87
CDAN,A->B,918,24.03,8.175,7.187,7.829
CDAN,A->C,558,24.03,8.175,3.811,6.829
CDAN,B->C,558,24.03,8.175,3.754,6.727
EM-DDA,A->B,918,134.28,30.932,5.303,5.776
EM-DDA,A->C,558,134.28,30.932,2.679,4.8
EM-DDA,B->C,558,134.28,30.932,2.664,4.774
MCC,A->B,918,24.03,8.175,6.897,7.513
MCC,A->C,558,24.03,8.175,3.589,6.432
MCC,B->C,558,24.03,8.175,3.6,6.452
SHOT,A->B,918,24.03,8.175,6.689,7.286
SHOT,A->C,558,24.03,8.175,3.63,6.505
SHOT,B->C,558,24.03,8.175,3.6,6.451
CAT,A->B,918,134.28,30.932,5.124,5.582
CAT,A->C,558,134.28,30.932,2.615,4.686
CAT,B->C,558,134.28,30.932,2.605,4.668
DAN,A->B,918,24.03,8.175,6.695,7.293
DAN,A->C,558,24.03,8.175,3.556,6.372
DAN,B->C,558,24.03,8.175,3.554,6.369
DDC,A->B,918,134.28,30.932,4.935,5.376
DDC,A->C,558,134.28,30.932,2.635,4.722
DDC,B->C,558,134.28,30.932,2.625,4.705
SVDNA,A->B,918,24.03,8.175,6.746,7.349
SVDNA,A->C,558,24.03,8.175,3.581,6.417
SVDNA,B->C,558,24.03,8.175,3.591,6.435
BNM,A->B,918,24.03,8.175,6.723,7.324
BNM,A->C,558,24.03,8.175,3.575,6.406
BNM,B->C,558,24.03,8.175,3.592,6.437
TENT,A->B,918,24.03,8.175,6.828,7.438
TENT,A->C,558,24.03,8.175,3.602,6.455
TENT,B->C,558,24.03,8.175,3.612,6.473
DAGCN,A->B,918,52.62,16.365,10.041,10.938
DAGCN,A->C,558,52.62,16.365,5.715,10.242
DAGCN,B->C,558,52.62,16.365,5.734,10.275
FCCAN (Ours),A->B,918,38.41,9.936,8.932,9.729
FCCAN (Ours),A->C,558,38.41,9.936,5.091,9.123
FCCAN (Ours),B->C,558,38.41,9.936,5.043,9.037
