type,method,task,seed,epoch,model,acc,auc,recall,precision,f1,bacc,specificity,kappa,gmean,mcc
summary,cat,A-B,42,,,0.8867,0.9621,0.9035,0.8811,0.8849,0.9035,,,,
summary,cat,A-B,123,,,0.8889,0.9468,0.9071,0.8802,0.8857,0.9071,,,,
summary,cat,A-B,777,,,0.8649,0.9656,0.887,0.8591,0.8611,0.887,,,,
summary,cat,A-B,2024,,,0.8017,0.9179,0.8341,0.8093,0.7974,0.8341,,,,
summary,cat,A-B,3407,,,0.7745,0.9238,0.8131,0.7921,0.772,0.8131,,,,
summary,cat,A-C,42,,,0.7527,0.903,0.7527,0.7715,0.7537,0.7527,,,,
summary,cat,A-C,123,,,0.8387,0.9418,0.8387,0.8463,0.8389,0.8387,,,,
summary,cat,A-C,777,,,0.8154,0.9389,0.8154,0.8175,0.816,0.8154,,,,
summary,cat,A-C,2024,,,0.8656,0.9544,0.8656,0.8703,0.8658,0.8656,,,,
summary,cat,A-C,3407,,,0.8495,0.9544,0.8495,0.8511,0.8499,0.8495,,,,
summary,cat,B-C,42,,,0.819,0.9456,0.819,0.8478,0.8087,0.819,,,,
summary,cat,B-C,123,,,0.8638,0.9691,0.8638,0.8875,0.8637,0.8638,,,,
summary,cat,B-C,777,,,0.8566,0.9619,0.8566,0.8829,0.8543,0.8566,,,,
summary,cat,B-C,2024,,,0.8548,0.9611,0.8548,0.8805,0.8522,0.8548,,,,
summary,cat,B-C,3407,,,0.8692,0.974,0.8692,0.887,0.8656,0.8692,,,,
summary,ddc,A-B,42,,,0.415,0.4982,0.3333,0.1383,0.1955,0.3333,0.6667,0.0,0.0,0.0
summary,ddc,A-B,123,,,0.3508,0.6183,0.4241,0.3177,0.295,0.4241,0.6971,0.0915,0.1453,0.1168
summary,ddc,A-B,777,,,0.415,0.5,0.3333,0.1383,0.1955,0.3333,0.6667,0.0,0.0,0.0
summary,ddc,A-B,2024,,,0.5959,0.7434,0.643,0.6137,0.5892,0.643,0.8092,0.4102,0.6048,0.4358
summary,ddc,A-B,3407,,,0.4989,0.7909,0.5583,0.6206,0.5034,0.5583,0.7673,0.285,0.5207,0.3233
summary,ddc,A-C,42,,,0.3333,0.5,0.3333,0.1111,0.1667,0.3333,,,,
summary,ddc,A-C,123,,,0.4409,0.6626,0.4409,0.4664,0.4236,0.4409,,,,
summary,ddc,A-C,777,,,0.5394,0.7534,0.5394,0.5659,0.519,0.5394,,,,
summary,ddc,A-C,2024,,,0.5484,0.7396,0.5484,0.5513,0.5464,0.5484,,,,
summary,ddc,A-C,3407,,,0.3333,0.5,0.3333,0.1111,0.1667,0.3333,,,,
summary,ddc,B-C,42,,,0.5018,0.6884,0.5018,0.5493,0.5067,0.5018,,,,
summary,ddc,B-C,123,,,0.3333,0.5,0.3333,0.1111,0.1667,0.3333,,,,
summary,ddc,B-C,777,,,0.3333,0.4963,0.3333,0.1111,0.1667,0.3333,,,,
summary,ddc,B-C,2024,,,0.3333,0.4991,0.3333,0.1111,0.1667,0.3333,,,,
summary,ddc,B-C,3407,,,0.3333,0.5009,0.3333,0.1111,0.1667,0.3333,,,,
summary,src_only_vgg16,A-C,123,,,0.3118,0.5445,0.3118,0.3330,0.2214,0.3118,0.6559,-0.0323,0.0866,-0.0522
summary,src_only_vgg16,A-C,777,,,0.3118,0.4958,0.3118,0.2181,0.2482,0.3118,0.6559,-0.0323,0.0000,-0.0398
